epoch,step,train_loss,train_acc,train_ppl,train_te,val_loss,val_acc,val_ppl,val_te,sav_version
0,2280,2.32439885102866,0.39794409311137985,93.07448432134028,0.4311003146036176,1.1125828471240096,0.6509643904710869,9.766500281921008,0.2098698842920562,1
1,4560,0.9652550225456555,0.6834103918878597,6.627478552580445,0.1844682432762565,0.9064466371310977,0.6972829641526681,5.041661473256594,0.1713116872111007,2
2,6840,0.8488004282901161,0.7124287932738881,4.377667319322467,0.1559036094725769,0.8283979330710539,0.7149620895153485,3.9119492944128313,0.15217270734737426,3
3,9120,0.782725727022217,0.7299058172324514,3.622723883481353,0.1438329487158435,0.7711074971777248,0.734906882306609,3.3918611825518177,0.14513417279970264,4
4,11400,0.730615413567999,0.7477454118855886,3.224229031367741,0.13440602101777127,0.7584107708273911,0.7456986652042994,3.0818313411487033,0.12992343397648987,5
5,13680,0.6961367150017044,0.7609916274446868,2.9719623607208305,0.12770668692967482,0.6953332216486218,0.7615164375645198,2.8745357433065863,0.12399025208168879,6
6,15960,0.6703606803689086,0.7705604192203782,2.7950807099955557,0.12326102783807952,0.6817038085047654,0.7695170783132463,2.723727871986128,0.12372936655140862,7
7,18240,0.6517958225257564,0.7785750912136588,2.66369960370734,0.11968545541505213,0.6722898672180851,0.7723307317080975,2.609589397786807,0.12256292418105859,8
8,20520,0.6315578152605316,0.7861336210378117,2.5617721646748457,0.11633174874236088,0.6349231282791753,0.7865397830478869,2.5180716787375728,0.11639512426210066,9
9,22800,0.6112261144477025,0.7943888759999325,2.4789997903777623,0.11294282779787458,0.6316062260096468,0.7898815135102061,2.4423603333453596,0.11470786224455748,10
10,25080,0.5938780643699462,0.8014320206064894,2.4093546236147603,0.1099755358727717,0.618784610094048,0.7951498492913913,2.378620327193135,0.11109220453293957,11
11,27360,0.5784504326485228,0.8080553852849028,2.3505560812468085,0.1077911423259615,0.5988070368766785,0.8029208183807363,2.323838853750611,0.10725238397884763,12
12,29640,0.558927861751433,0.8160662251812522,2.2984681197563592,0.10410151096586094,0.5799550537283965,0.8119136238853704,2.274709379567796,0.10455668917800003,13
13,31920,0.5416857561129227,0.8227880378846965,2.252228271651239,0.10104197839539122,0.5758314141490328,0.8152293572310472,2.2307578948178586,0.09989790483342963,14
14,34200,0.5299441731616593,0.8277485195045671,2.210649686452214,0.09896503405916536,0.5572716635981882,0.8208253254206052,2.191786524779275,0.09922032206369677,15
15,36480,0.5164002307935764,0.8325122895347834,2.1736739782433934,0.0971484501423177,0.5612546613249253,0.820521595860684,2.1563223254874346,0.09881833977660495,15
16,38760,0.5054463225825314,0.8368906349060549,2.139946039704604,0.09515444723097773,0.5727122113929959,0.8242097746206982,2.124353973997497,0.09623894518834766,15
17,41040,0.4959132295232593,0.8407712628528433,2.1094561710118938,0.09282211035757035,0.556098753777076,0.8263446541193888,2.09527705355626,0.09571529979072281,16
18,43320,0.4822926851087495,0.8443596308766704,2.081274417597391,0.09104016200197926,0.5329362740666848,0.8305926931508691,2.0678296689434394,0.09696703146549969,17
19,45600,0.4812243327955928,0.8455395472654127,2.0552989183246084,0.09065484288023685,0.529609883570765,0.8322567553066036,2.0434418666658556,0.09148273287578217,18
20,47880,0.4677920944531236,0.8495231483480195,2.031834543489729,0.08855818297357707,0.5225322096366581,0.8352881268970311,2.0204580503202116,0.09072744227802375,19
21,50160,0.45920404452634483,0.8523984940754348,2.0094247597142485,0.08719771192284435,0.5245832411909667,0.8341498130991206,1.999009365326282,0.09132430484764616,19
22,52440,0.45410999938714924,0.8535880574227108,1.9888308443425848,0.08624419893874152,0.5160857260109871,0.8381287927998835,1.9790666889994701,0.08783971961177021,20
23,54720,0.44563694432247103,0.8563185211292976,1.9694898786290758,0.08481183230268441,0.5299111837594528,0.8366112368067407,1.9603914907800812,0.0867243818643096,20
24,57000,0.4461428760436543,0.8568746435443282,1.9520527610936078,0.08450946058260113,0.5126533961788876,0.8384499079162908,1.9435311108003661,0.08412391070536675,21
25,59280,0.43802541204189,0.859343010089423,1.93528036828421,0.08341828308810767,0.500799489185566,0.8432606467945996,1.9273500757022204,0.08320969704320265,22
26,61560,0.4337374966722308,0.8605653868019405,1.91957749249504,0.08254683805067137,0.5168225987572369,0.8381547068569708,1.9122805870820194,0.08769440679053833,22
27,63840,0.4266509175954158,0.8621831207266427,1.9049125640176554,0.08162947069275608,0.5119465491551114,0.8395558416160919,1.8978677825623704,0.08501544958811329,22
28,66120,0.4216113046857349,0.863723805961747,1.890972937932989,0.08074339628485884,0.5028743193609508,0.8425582719434579,1.8842668412918047,0.08158900354326763,22
29,68400,0.4214300947427227,0.8643144436682515,1.8777836901732088,0.08027328187459971,0.5112747043723197,0.8396147296796108,1.8716494840293234,0.08345436167613444,22
30,70680,0.412687878657067,0.8664215082450519,1.8655696061549278,0.0791822865567023,0.5113232078280036,0.840397115405136,1.8595186420895333,0.08098140886513593,22
31,72960,0.41258123121632817,0.866420863832296,1.8536777279724874,0.07910838219167916,0.5105813767496995,0.841180925835272,1.8480977489457622,0.08264455878357709,22
32,75240,0.4044798716641309,0.8688800171970879,1.8424214037342381,0.07796664441622128,0.5113477817201239,0.840146491852048,1.8370750291879119,0.0830778458849602,22
33,77520,0.40260426937357374,0.8698708108786715,1.8318044902102222,0.07734099576602933,0.5082064976138393,0.8422335862683269,1.8266990550031537,0.08130766753708121,22
34,79800,0.3999698206520917,0.870648789299286,1.8216999680613986,0.07725823592526551,0.5067868249153528,0.8423962952025994,1.8168346016136148,0.07873072369323633,22
