epoch,train_loss,train_acc,train_ppl,train_te,val_loss,val_acc,val_ppl,val_te,sav_version
0,1.3220877614634776,0.5887818660476962,9.021829223644339,0.2532297428532272,1.0921007143823724,0.632170102058766,3.846028692222458,0.19099527349711234,1
1,1.0160576623695636,0.6513548998522011,3.5183380381376868,0.18386354265650343,1.0201579329214598,0.6490232922467145,3.3020712296225585,0.18408188485783752,2
2,0.9561129496372931,0.664982444884748,3.1776372075533263,0.17159631956395044,0.9486633961137972,0.667236168558211,3.0764658544670516,0.170630154475344,3
3,0.9043769440978591,0.6849743984784253,2.9983591492353345,0.16290049771674345,0.9009066169983462,0.6912075250540802,2.928617935939881,0.15542389755513702,4
4,0.8564697310851331,0.708400420327475,2.871045826055789,0.1542840613645119,0.8677840374802288,0.7082760430607253,2.817477230103265,0.15208282948719412,5
5,0.8221125060921175,0.7229676810480646,2.7712830702604148,0.14840464472202108,0.836121008192238,0.7201999751432825,2.7298796347676935,0.14845201584210357,6
6,0.7937435998118412,0.7350566209447628,2.6917569796129777,0.14338616954546624,0.8132753243571833,0.7299901723993122,2.6576283842614563,0.14406798622642653,7
7,0.7715875589011009,0.7446478047784255,2.62603040865356,0.13948794035399356,0.7957298587027349,0.7367921979956962,2.596510599927311,0.14357552973593252,8
8,0.7508334457874298,0.7522214530311666,2.56985476168416,0.13589270034306294,0.7793230867699573,0.7426234507631453,2.5445205910101136,0.13518626530225078,9
9,0.7391944620954363,0.7578320945590948,2.5218877587617294,0.1334650012854177,0.7720831178520855,0.7472294851625264,2.500269568859691,0.1420478849378437,10
10,0.7252944350416898,0.7625701391636422,2.4802152992933033,0.13118395605771246,0.751291206714354,0.7558810930741889,2.461154528309997,0.13042997496118802,11
11,0.709776728421624,0.7687803740597302,2.443144515196377,0.12836928144948018,0.748878248192762,0.7572425944206894,2.425923670752673,0.12890732271613942,12
12,0.6981900517093508,0.7727134735007051,2.4101453860194515,0.12667975452737099,0.748494165665225,0.7575361352193564,2.3943555337262543,0.12677415339090672,13
13,0.6852776757283517,0.7781904323938921,2.3795798862037305,0.12414534057952652,0.7246350240550543,0.7659883030805289,2.3654550732877757,0.12854822343550684,14
14,0.6733065244834325,0.782231070456194,2.3517052297158956,0.12253191255398643,0.7217156555699674,0.7669999693969479,2.338832901473399,0.12444773519327966,15
15,0.6646803923648352,0.7849000346500004,2.3260703720356983,0.12063231337647888,0.7245562583992355,0.7665402790247103,2.3143541751968546,0.1234047709037599,15
16,0.6499704257307345,0.7897484230603072,2.302552646371582,0.11893302004100648,0.7095303931518605,0.7713454970209495,2.2912094942260812,0.12336228447328565,16
17,0.6414191790317234,0.7926398483067106,2.2804042392028774,0.11702754994568726,0.7075536707514211,0.7731833236439308,2.2698353934317215,0.12470595957475807,17
18,0.6328230352386048,0.7955915813404256,2.2595138632250977,0.1155850745329791,0.7040425841745578,0.7752993670157784,2.2497261341007464,0.11727323499288773,18
19,0.6240733969542716,0.7986300043586874,2.2400561276454827,0.11410902828317787,0.7158665740960523,0.7746481622184787,2.2310655393181524,0.11254630029388736,18
20,0.6172042743983673,0.8003246724235917,2.2220266365743,0.1127528130118674,0.6964756685652231,0.778450662552458,2.2134638873236856,0.11338511111337798,19
21,0.6104241717367145,0.8029795131142682,2.204903964653998,0.11169661578145303,0.692731331524096,0.7806129948323465,2.1967930361370174,0.1135905395732842,20
22,0.6001143427358733,0.8064244571819389,2.188505941408531,0.10978902242158872,0.6873499296213451,0.7819777199803396,2.180764312621966,0.11633298194318538,21
23,0.596443853296383,0.80721761666552,2.1732339985421762,0.10931730679360419,0.6902852012138617,0.7802971907389852,2.1659701030662197,0.11806283604694391,21
24,0.5880890185242159,0.8099869134018387,2.158580645395027,0.10786411434280484,0.6856876126245448,0.78482857261976,2.1516966187451576,0.11260045584306394,22
25,0.5820078162944805,0.8127209411747963,2.1447748048398987,0.10665668138685101,0.6841702667506118,0.7849422030262673,2.138231488255365,0.11183336051701097,23
26,0.5734713436088018,0.8146047510796991,2.131571023151719,0.1055913514134196,0.6869640764437224,0.7853480801038802,2.125140747122753,0.10842958479398059,23
27,0.5681004590632622,0.8162488683831014,2.1186146228792633,0.10419768192343318,0.6839461290914761,0.7853046775090092,2.1125384365230784,0.11368290603641575,24
28,0.5651854354343567,0.8178023195077789,2.1064101966639,0.10338450007225487,0.6784941101936918,0.7877694218863157,2.1005490056580594,0.10488015855901514,25
29,0.5548324735018245,0.8202394940780351,2.094582090638139,0.10230125496860862,0.6829711177631428,0.7868331100677346,2.0889270649652993,0.10435002885248468,25
30,0.5494564342089215,0.822126423601982,2.0832839235276746,0.10131632178847562,0.6892669956542944,0.7853047343399905,2.07776790111431,0.10324116324429898,25
31,0.5459876426087137,0.8237675106500346,2.0722739503900853,0.10021997765543342,0.6824071585739914,0.7872799310916692,2.067148167401269,0.1063217244737788,25
32,0.536642968950913,0.8260737860390782,2.0617790841506713,0.0992769408501277,0.6809777379820221,0.7886758498971284,2.0566316256811255,0.10398469647013193,25
33,0.53020193243933,0.8280286037877285,2.0514918701986526,0.09783418609649479,0.6833584917611197,0.7881254916873319,2.046514950439616,0.1049208811571329,25
34,0.5291308087781508,0.8279335408785284,2.0415350367829785,0.0976271385139949,0.6839296486816908,0.7875844994080077,2.037010164236,0.10357289526348747,25
35,0.52040423421919,0.8311805323954008,2.0320668876642043,0.09592824962941669,0.6923402566658823,0.7873410624584806,2.0275615998869974,0.10248417872923297,25
