epoch,train_loss,tran_acc,val_loss,val_acc,sav_version
0,3.0990918091598956,0.36185637957718614,3.4297383806922217,0.3629750028380972,1
1,2.487128553014268,0.4237141883611003,3.198228055780584,0.3726578004773308,2
2,2.2372283520461353,0.4571621305931958,3.092585466124795,0.39255490786663694,3
3,2.065605642660609,0.4823287409728234,2.991334709254178,0.40861005673547607,4
4,1.8584691288131792,0.5220410054110081,2.7360996549779717,0.43022522491435333,5
5,1.6879942329220257,0.5558136851000205,2.506008516658436,0.46867904335429084,6
6,1.5673528242070311,0.5781592611640494,2.4096800197254526,0.49254461847688147,7
7,1.4660711607434125,0.6008291481461255,2.2818739089098843,0.5181093698203229,8
8,1.3930635997198049,0.615738227348525,2.242272897200151,0.5223862596558718,9
9,1.2954239493577804,0.6411971141701,2.108636650172147,0.5551789114206563,10
