epoch,train_loss,tran_acc,val_loss,val_acc,sav_version
0,3.0282001830701355,0.23471775845986725,2.8079766143452036,0.22279272021378646,1
1,2.49018169798941,0.2840183810516009,2.7810687151822178,0.2209713850353298,2
2,2.359470212848068,0.30537058258754046,2.769791678948836,0.22293780044940326,3
3,2.2890222043974733,0.3189663703002049,2.7209579944610596,0.21893389302501712,4
4,2.2134919311742633,0.3367245374019098,2.6800708879124033,0.22934777722618718,5
5,2.090079681542071,0.36899005872420226,2.6408995281566274,0.23932611410852242,6
6,1.9436227432859496,0.4033897623821647,2.611579515717246,0.2548164637073878,7
7,1.8157460427815877,0.43685016157050377,2.5538969581777398,0.2675510287553733,8
8,1.683573438209285,0.48028212558314515,2.480189312588085,0.2837204807686403,9
9,1.4358567431901372,0.5763348887280537,2.315410082990473,0.3362552968502823,10
