epoch,train_loss,tran_acc,val_loss,val_acc,sav_version
0,2.7166012464215785,0.32350222317424215,2.9711490869522095,0.2853879292130037,1
1,2.212911495009172,0.3989014442830703,2.669786724177274,0.30556200419799145,2
2,2.0036975079907764,0.4343286958162538,2.5540244470943105,0.338764756269339,3
3,1.8965822390790255,0.4552939253205483,2.524285836653276,0.3386928765316178,4
4,1.8065060454821709,0.4728564831308877,2.454469821669839,0.3665272560996132,5
5,1.7026077936280448,0.4962933198519256,2.407865437594327,0.3828427822464363,6
6,1.6227347754696018,0.5149053701608398,2.369889270175587,0.39639236393567034,7
7,1.509355848076822,0.5429347447943315,2.2615953467108985,0.41156214458936236,8
8,1.4080334391643008,0.5670470735411656,2.186614654280923,0.43830050322007724,9
9,1.310977304165809,0.5893632857516989,2.0537308291955427,0.45681386323366974,10
10,1.2264266337170608,0.6106071356248185,1.9574294577945361,0.4846473978861196,11
11,1.1573425206271084,0.6275157361049277,1.8780482465570623,0.4974675698335176,12
12,1.1015147611779987,0.6425752166700694,1.861069923097437,0.51312914662681,13
13,1.0541338109847407,0.6545745741040511,1.7968542738394304,0.5159699431463239,14
14,1.0260640975746036,0.6621066841382472,1.7775890664620833,0.527904450537601,15
15,0.995423324827878,0.6685995300718788,1.7671852762048894,0.5288464515769845,16
16,0.9683727794814069,0.6765660322154442,1.6935007247057827,0.5461334370712401,17
17,0.9417433700880505,0.6839188131916609,1.6133175979961047,0.5647845855763367,18
