epoch,train_loss,tran_acc,val_loss,val_acc,sav_version
0,3.057149042441831,0.20075155893544294,2.7624964262309826,0.22285319740395135,1
1,2.6753026482654594,0.23016226515934912,2.6261715261559737,0.23320010913780898,2
2,2.571717199805187,0.2413836696861468,2.531316172449212,0.25030084493815485,3
3,2.4758930016679375,0.2590156042415465,2.4174869863610517,0.27060890286017003,4
4,2.3201492447602123,0.28973943417028997,2.1962149682797882,0.3142953903513545,5
5,2.069998285784359,0.34589379707326445,1.9649018450787192,0.37301427426033534,6
6,1.8313426423491093,0.40762629794726507,1.7338972656350387,0.4371390244488905,7
7,1.6033137456715456,0.476652337160676,1.4869869119242618,0.5170081208671659,8
8,1.3801699891425017,0.5471674595228206,1.3068709524054276,0.5710373858395925,9
9,1.2437237386815032,0.5907375382109094,1.2123386696765297,0.6026646632522364,10
10,1.1437065793756853,0.6233110132953853,1.1094727221288179,0.6345506780119113,11
11,1.0631266616938406,0.6487944373172329,1.0541923209240562,0.6534374753911123,12
12,0.9951909487010443,0.670947294854044,0.9824573178040353,0.6786264927038013,13
13,0.9417622100540072,0.688478698010679,0.9363610054317274,0.6918478361419298,14
14,0.8952289331726163,0.7035943710297158,0.8972504841653924,0.7057517898026842,15
15,0.856797380614699,0.7169241356551891,0.8589099112309908,0.7199283277344497,16
