epoch,train_loss,tran_acc,val_loss,val_acc,sav_version
0,1.9355665027538194,0.5266836242322366,1.720168227950732,0.5369662957067959,1
1,1.5870919940627624,0.5539253848209149,1.5424532666802406,0.5551519841431043,2
2,1.472266077716774,0.5628316477943719,1.477748950322469,0.554272242080919,3
3,1.4099818072586416,0.5692124917844756,1.4236760313312213,0.5631144738494634,4
4,1.3481537869600493,0.5834289908710403,1.3474424853920937,0.586001128264402,5
5,1.268474245461348,0.6112275563876797,1.2731916656096776,0.6144471481110179,6
6,1.197253594053126,0.6393684044575998,1.2016422674059868,0.6410571865949254,7
7,1.140672186824763,0.6595882420369659,1.166125914702813,0.6559567477346595,8
8,1.100347539253324,0.6747600974477354,1.1266657039523125,0.6684686427809341,9
9,1.06764796055923,0.6873495733766707,1.1019490299125512,0.6815077772497302,10
10,1.039341342226367,0.6976513449299566,1.0793016801277797,0.690089049771219,11
11,1.0164383350410193,0.7060302919108885,1.05909363925457,0.6977387989210692,12
12,0.9969323452945068,0.7121061228206547,1.041536411891381,0.7039777717726324,13
13,0.9755422414463257,0.7199212070862243,1.0401925990978877,0.7052403025783507,14
14,0.9594769745229561,0.7255202559220622,1.0167277331153552,0.7129358296640161,15
15,0.9435773817735298,0.7301883815419945,1.0056573897600174,0.7185223750720334,16
16,0.9282727029836066,0.7355266302063248,0.997632751862208,0.7214452401609185,17
17,0.9117789534486342,0.7413534085770735,0.9854647554457188,0.7250368343861032,18
18,0.8972775997402512,0.7457926626719187,0.9701775734623274,0.7318863752774333,19
19,0.8829227034176621,0.7505381443482492,0.9571987179418405,0.7351327750553542,20
20,0.8693490280447719,0.7548586723457031,0.9484456293284893,0.739333936218721,21
21,0.857322513778633,0.7585640691950822,0.9458217484255632,0.7405704317326395,22
22,0.8447756966419309,0.7622662394751176,0.933814803759257,0.7461994085849196,23
23,0.8317086288583613,0.7660562729095789,0.9220555759966373,0.7484540272118881,24
24,0.8183144673565838,0.7700930312546455,0.9155547209084034,0.7518722850946005,25
25,0.80631413039203,0.7734149294639217,0.9158122738202413,0.7501836817522953,25
26,0.7980578246517717,0.7759324826385131,0.9056415036320686,0.7543225680623974,26
27,0.7874021207757085,0.7785347302866125,0.8991986153026422,0.7583209258115974,27
28,0.77646257150396,0.7814114628874672,0.8996098898351192,0.7575720149293687,27
29,0.7676865078299959,0.7840668711581573,0.8944575873514017,0.7584366673888145,28
30,0.7591829597949982,0.7862509983379933,0.8820190789798895,0.7617591072361972,29
31,0.7511444838247566,0.787922814030671,0.8929415059586366,0.759249803915186,29
32,0.7425237130895953,0.7902746379766872,0.8933538794517517,0.7566979039170579,29
33,0.7326755701938522,0.7923456380985007,0.8912193042536577,0.7604533923663054,29
34,0.7249764918445427,0.7941306042422318,0.8926470850904783,0.7610678117813428,29
35,0.7172801693744748,0.7959451449127339,0.8890657288332781,0.7605301315317412,29
36,0.7087044809187684,0.7979662010530291,0.8827018576363722,0.7634104378764062,29
37,0.7006466891442504,0.800136171036002,0.889364036420981,0.7613606757785126,29
38,0.6932099186510683,0.8013781047822566,0.887647787729899,0.763204164122234,29
39,0.6847978494016924,0.8032675098474483,0.8921560235321522,0.7635182049249014,29
40,0.6763884597153307,0.8050044205562878,0.8885611705482006,0.7638497214931559,29
41,0.6682843855608289,0.8068315232481162,0.8998733423650265,0.7579272094944599,29
42,0.6605419848706121,0.8088053095371711,0.9071552070478598,0.7595205617053004,29
43,0.6518364349536807,0.8111660489876847,0.8964475380877653,0.7640383535959483,29
44,0.6449396002376191,0.8121803284761346,0.9022019555171331,0.7618772874945182,29
45,0.6364650940087354,0.8140913644821688,0.9052850604057312,0.7644299181278091,29
46,0.6281049791201253,0.8158379321571875,0.9072760455310345,0.7609060854160553,29
47,0.6198707187426424,0.8181096753147797,0.9129014201462269,0.7606505967341985,29
48,0.6108055433658796,0.8194841927593566,0.9189390589793524,0.7599271321061707,29
49,0.6024961355969171,0.8220741368472142,0.9162667766213417,0.7612535470727417,29
50,0.5938788230452582,0.8238999629494665,0.9284770948191484,0.760362228215448,29
51,0.5840514776444881,0.8261283429618812,0.9324105357130369,0.757986843531555,29
52,0.577948702064073,0.8270855910845221,0.9504697273174921,0.755752274636659,29
53,0.5679079578301617,0.8299209712526661,0.9375683764616648,0.7594077751038945,29
54,0.5589171316579123,0.8317439549088834,0.9547014286120733,0.7589957895215836,29
55,0.5501136110625534,0.8339578899482178,0.9592672896881899,0.7562824059931851,29
56,0.5408932270708485,0.83618178126251,0.9692367787162463,0.7551785386761495,29
57,0.5311242911581681,0.838679918016577,0.9880571415026983,0.7549821102873433,29
58,0.5233796470076124,0.8401362344358327,0.9842947845657667,0.753936389137868,29
59,0.5148359041347682,0.8424432636975946,0.9856687399248282,0.7541063371023404,29
60,0.5052804098090279,0.8446980654239348,0.9993839996556441,0.7518267858592944,29
61,0.4960577610497163,0.8467182836476536,1.0007040177782376,0.7504674346328085,29
62,0.4859657841168831,0.8491318393824878,1.0146267972886562,0.7546623953560009,29
63,0.4778356790264076,0.8513232120979131,1.0282448294262092,0.7507140904287581,29
64,0.4679372851675916,0.8539530695134422,1.0328456858793895,0.7480987310108885,29
65,0.46055247397901855,0.8558181619868346,1.0513113141059875,0.7445544615732325,29
66,0.45173064570560634,0.8578286424762545,1.0561269062260787,0.741871351214733,29
67,0.4439920701573942,0.8600021834045701,1.0688472638527553,0.7466864412692146,29
68,0.4335219293972042,0.8623887027907504,1.0695184196035068,0.7452183203671985,29
69,0.42297811806201935,0.8657994394257957,1.0708696643511455,0.7442829035336441,29
