Tokenizer,vocab_size,mean_len,std_len,mean_compression,std_compression
ChordSymbolTokenizer,326,47.00932814467208,30.55923523521828,0.28700821025486484,0.106001113303193
GCTSymbolTokenizer,194,47.00932814467208,30.55923523521828,0.2771531358302415,0.1021898224546498
RootTypeTokenizer,63,64.93830834382511,43.75202835200243,0.24066401344151386,0.0908845094814714
GCTRootTypeTokenizer,326,64.93830834382511,43.75202835200243,0.23884636986348096,0.09012180708434134
PitchClassTokenizer,38,85.9678379306398,59.616243440116556,0.21739412754184037,0.08446957820683093
RootPCTokenizer,50,85.9678379306398,59.616243440116556,0.23377904715767273,0.09139440588741608
GCTRootPCTokenizer,50,85.9678379306398,59.616243440116556,0.23296399482120062,0.09112212389042004
