Tokenizer_m21,vocab_size,mean_len,std_len,max_len,mean_compression,std_compression,total_compression
ChordSymbolTokenizer,436,48.13761730373083,30.68028566515211,484,0.1448379904305344,0.050838145796360874,0.05925773815962618
GCTSymbolTokenizer,270,48.13761730373083,30.68028566515211,484,0.13665248080742237,0.0482025697610659,0.05884347514956856
RootTypeTokenizer,129,66.06631952391852,43.861012337577975,659,0.12292405512415552,0.043997485793103384,0.04831767100448217
GCTRootTypeTokenizer,136,66.06631952391852,43.861012337577975,659,0.1225564448166229,0.043824431000647784,0.04820355975142369
RootPCTokenizer,112,87.11078049897002,59.731303789368056,866,0.12122626399848392,0.044557275091361155,0.04139633316429621
GCTRootPCTokenizer,112,87.11078049897002,59.731303789368056,866,0.12076101538103204,0.044394089814506016,0.040948340983796086
PitchClassTokenizer,100,87.11078049897002,59.731303789368056,866,0.11378203394700498,0.04135214779005257,0.04137876162349213
MelodyPitchTokenizer,195,132.4645799954223,78.01326654548204,1350,0.14361084155177944,0.04106399535784446,0.07500806712539487
