Tokenizer,vocab_size,mean_len,std_len,mean_compression,std_compression
ChordSymbolTokenizer,322,120.49230769230769,43.32468583113863,0.10251211948552254,0.027516088579421383
GCTSymbolTokenizer,210,120.49230769230769,43.32468583113863,0.09803812941427888,0.02641694129659591
RootTypeTokenizer,59,164.8876923076923,60.33976621584019,0.09010761330663442,0.02333875516461699
GCTRootTypeTokenizer,322,164.8876923076923,60.33976621584019,0.08943318094180418,0.023651626067386328
PitchClassTokenizer,34,254.32153846153847,94.77219487122822,0.07775146860064301,0.021220243840106214
RootPCTokenizer,46,254.32153846153847,94.77219487122822,0.084217979630103,0.023634596853205788
GCTRootPCTokenizer,46,254.32153846153847,94.77219487122822,0.08337781324743442,0.023224990226902966
