epoch,train_loss,tran_acc,val_loss,val_acc,sav_version
0,1.516958639496251,0.5519749410601942,1.376521500788237,0.5662174605571855,1
1,1.3049476645843328,0.5768539912154713,1.2725316825665927,0.5827950324366467,2
2,1.1871512861976847,0.6009547660271038,1.1518939645666826,0.6091362213644537,3
3,1.0958337166853118,0.623288338645787,1.0723014323334945,0.6306163240764212,4
4,1.0402560609125953,0.6388603153387566,1.03484311292046,0.6414558060687044,5
5,1.0012963110940498,0.6513271530637718,1.0042280899850946,0.6498102342235399,6
6,0.9674373345068323,0.6619226841546131,0.9715219579244915,0.6607498752889241,7
7,0.942437421717839,0.670795207828113,0.9558016199814646,0.6660722819792644,8
8,0.9226796383049056,0.6786022982970695,0.9362463072726601,0.6767825844398436,9
9,0.9059446030192905,0.685346005062788,0.9206141791845622,0.6817938820454461,10
10,0.8900803114935668,0.691235551930291,0.901594751132162,0.6884748127856266,11
11,0.8762168587299816,0.6974151990435684,0.887933914284957,0.6953834883495064,12
12,0.8604775989264772,0.7047205983764424,0.87049417621211,0.7029597727222022,13
13,0.8453920349740145,0.7107746226116146,0.863607606762334,0.7053491801062756,14
14,0.8347187864153008,0.715712437327655,0.8538976324232002,0.7118414110867696,15
15,0.8196599155141596,0.7223075172925645,0.8412860067267167,0.7161743994741143,16
16,0.8064116679436979,0.7280976055896808,0.8369390199058935,0.7202340348004952,17
17,0.7946542625538787,0.7323148830914805,0.8134170287533811,0.729524447522695,18
18,0.7857575638252392,0.7364551328283253,0.8058016576265034,0.7304803228394616,19
19,0.7768929809157611,0.7401112741274581,0.8015352255419681,0.7341641333599179,20
20,0.7677875239249559,0.7434637344814895,0.7939977714889928,0.7382814379154536,21
21,0.7617953907676608,0.7464988461943137,0.7933672660275509,0.7365738370313825,22
