epoch,train_loss,tran_acc,val_loss,val_acc,sav_version
0,1.520863850214328,0.5563800559028025,1.3090088279623735,0.6051491115043571,1
1,1.1570659050467418,0.6385977589700079,1.0822876183610213,0.6547039134160371,2
2,1.016143968997643,0.6693659110133457,0.9893905275746395,0.6747395784421212,3
3,0.9430176467226262,0.6870559725734797,0.9332395014009978,0.6906939109826573,4
4,0.8983369338582133,0.7000102064497192,0.8881777587689852,0.7040292916154974,5
5,0.8635258823807477,0.7110012870708744,0.8661037369778282,0.7121486581152027,6
6,0.8371584649671588,0.7200608194356252,0.840727260238246,0.7213545693203895,7
7,0.8094899824488233,0.7306908223956502,0.816910247426284,0.7323489807650586,8
8,0.7762279293690508,0.7452001276863168,0.7842770745879726,0.744947370603565,9
9,0.7494050164320315,0.7564606960616264,0.761663628251929,0.752914065512462,10
10,0.726529555188285,0.7652250515863367,0.7379201569055256,0.7623859111173757,11
11,0.7061092460364626,0.772300009861047,0.7168877444769207,0.7705700993361012,12
12,0.6868409849398317,0.7795601080546498,0.6970839594539843,0.7773949306720984,13
13,0.670855866015306,0.7850265870054965,0.6842041043858779,0.7817894470149497,14
14,0.6575500259622495,0.7892828237847384,0.6742723151257164,0.7856937127086878,15
15,0.6446108857442064,0.793998764695294,0.6587814371836813,0.7912170136405919,16
16,0.6344686938656701,0.7975158166409877,0.662295242046055,0.7908112498591473,16
17,0.6244953317600385,0.8005072584259451,0.646765525090067,0.794618013003613,17
18,0.6188221285566252,0.8026078969886822,0.6375970611446782,0.7981027645028158,18
19,0.6100961274919454,0.8055315919984409,0.6389199692952006,0.7972479237845262,18
20,0.6037169504235362,0.8074867723106015,0.6351044987377368,0.7989724471926829,19
21,0.5999281826075058,0.8084239988881696,0.621531323382729,0.8034587587749578,20
22,0.592038148083882,0.8108114806866065,0.6264685113179056,0.8022703863772664,20
