epoch,train_loss,tran_acc,val_loss,val_acc,sav_version
0,0.7771300766377421,0.8206758016910629,0.25263183242396303,0.8669084845759866,1
1,0.226585015863703,0.8703497601947207,0.2269845800964456,0.86697623560183,2
2,0.20950915662691608,0.8703568424853534,0.21095987150543613,0.8668595971585251,3
3,0.1939438858140282,0.8704190800226604,0.19764134703498137,0.8670488932834525,4
4,0.18299082433096847,0.8704280696422968,0.1880630003778558,0.8669839410838143,5
5,0.1748915529477666,0.8703803935549624,0.18147405440870085,0.8671116197262306,6
6,0.16814949235372376,0.8704085226610583,0.17510676799636138,0.8672139631620672,7
7,0.16189356288540432,0.870437823752219,0.1678097849613742,0.8671866206034263,8
8,0.1548278072075537,0.8704114871301721,0.15946719568026693,0.8669660752546747,9
9,0.14869797719500916,0.8703462798880629,0.15463121125572607,0.8670145193378456,10
10,0.1426348270989998,0.8704584145115211,0.15663004854792043,0.8669548902108551,10
11,0.13946996254530566,0.8704614995111412,0.1495562250676908,0.8671571985102712,11
12,0.1348580361371152,0.8703857292239786,0.14435508972720096,0.8670566136468932,12
13,0.13300712279408997,0.8704236052796861,0.14055792516783663,0.867026242957408,13
14,0.12887462019833207,0.8703888921007,0.13940911316557936,0.866978353242852,14
15,0.12641924278080813,0.8704728434456288,0.13845905238076262,0.8670929206047139,15
16,0.12427747650453222,0.8704529825735146,0.13577388328941245,0.8671430157767629,16
17,0.12269623958837916,0.8704834114153955,0.1354170442411774,0.8670750169207395,17
18,0.1198344506759044,0.8704508459646285,0.1304571505439909,0.866993005832489,18
19,0.11841438255811992,0.8704813672718509,0.1300280154535645,0.8669206847071298,19
20,0.11620049131544012,0.870485012318885,0.1320524187856599,0.8672158221680545,19
21,0.11609705296611925,0.8704814263197146,0.12624271747313048,0.867048348901186,20
22,0.11383405015395398,0.8704566109666788,0.12419409744049373,0.8670394539157519,21
