epoch,train_loss,train_acc,val_loss,val_acc,sav_version
0,1.4006050825119019,0.5725745130991382,1.1185519056996023,0.6274683678623834,1
1,1.0491359949765497,0.6428639529993013,1.0182947284124029,0.6459065309570429,2
2,0.9916722913844543,0.6542965270789963,0.9861428934758104,0.6528910394764607,3
3,0.9469807359994503,0.668192688217568,0.9485786498531582,0.6719717812767749,4
4,0.9073853738736688,0.6866049223821458,0.9177396062790878,0.6875911489136268,5
5,0.8712571834916608,0.7036786501858842,0.8884104694437793,0.6986507965569562,6
6,0.8389498803307089,0.7178404801887646,0.8575383346146486,0.7119169282909197,7
7,0.8174026176202716,0.7263652000071822,0.8510084592216597,0.7160528415826889,8
8,0.7960341023902099,0.7354792204686844,0.8137007121026046,0.7312520994554732,9
9,0.7774627005060514,0.743267518995202,0.8031011511256375,0.735154593567682,10
10,0.7616805448147811,0.7503087218989748,0.7850513508704704,0.7417991265143704,11
11,0.7516449033037612,0.7540755043653758,0.7776327318563236,0.7465290380734059,12
12,0.735469642059322,0.7596619562140989,0.7761516037184423,0.746901718899149,13
13,0.7274950136741002,0.7631787327563613,0.7692920336807807,0.7510671035150702,14
14,0.713051719388418,0.7683547265616036,0.7773972015211902,0.7495051829267012,14
15,0.7066035521919267,0.7711396047752516,0.7470520911958274,0.7585147184753865,15
16,0.6965227428562286,0.774266913103772,0.7349579973718313,0.7640033843380338,16
17,0.6913372757664898,0.7755624575779821,0.7415054529670655,0.7606949217961622,16
18,0.6781166595194423,0.7804025137641363,0.7289652136836465,0.7631290730429254,17
19,0.6706367164588811,0.7831871735586089,0.7281140153567622,0.7670052023877081,18
20,0.6642024108323089,0.7853894576370358,0.7275078356500686,0.7656556970459768,19
21,0.6549212758347653,0.7883444093048348,0.7244167100256822,0.7684943001553268,20
22,0.6494167824913012,0.7908248260443788,0.713495660837241,0.7729378755528254,21
23,0.6426818541921022,0.7920991275847433,0.7045997878697914,0.7751761563762568,22
24,0.6362098796195106,0.7944747828434484,0.7096377969022811,0.7742182087414219,22
25,0.6315541804621094,0.7972869656978743,0.7040203411982754,0.7765151076240389,23
26,0.6218106998032645,0.7993543901368652,0.7584644523192579,0.7707467142184709,23
27,0.6227983864775876,0.7999846922880015,0.7464845306056691,0.7736437312196945,23
28,0.6091334602681169,0.8033731130100317,0.7003425831400504,0.777918794991822,24
29,0.6068568206604635,0.8052475687050672,0.697739467963459,0.7799230125226483,25
30,0.6019424323253987,0.8065536126236118,0.6970668008008342,0.7796689129564385,26
