epoch,train_loss,train_acc,val_loss,val_acc,sav_version
0,1.8569700563163087,0.5177643994030674,1.5964260589419388,0.5553769767189671,1
1,1.4590935161500647,0.5791612198600351,1.410615809085801,0.5829411361665975,2
2,1.3350152272927134,0.6028850116701278,1.3262530483129455,0.6071500599041284,3
3,1.2418050083413459,0.6364436859000865,1.235375261447561,0.6408069182183312,4
4,1.1662094422469014,0.6619593413846518,1.1729470911457782,0.6607106350250198,5
5,1.1053708928718902,0.6814481694649327,1.1290978540585737,0.6764849692971248,6
6,1.0683511070645693,0.6934701976176559,1.0897935978540285,0.6893490547451812,7
7,1.0234336911324868,0.7079622439469161,1.0654426580808294,0.698254648630987,8
8,0.995012982032801,0.7174127940446874,1.0204717744523146,0.7129661235037917,9
9,0.9680099414498137,0.7249376702509549,0.9990125964945695,0.7196237175130394,10
10,0.9416175029649023,0.7332449058670779,0.9963104042011922,0.7201124991557465,11
11,0.9249603849753999,0.7379289068288889,0.9863024336381221,0.7236522067163544,12
12,0.9030534582441313,0.7446440490940578,0.9612017494487012,0.7333357045025606,13
13,0.8959002601995802,0.7472252693642744,0.9515801514462223,0.7352857769044389,14
14,0.8731411953767141,0.7531484699433234,0.940975993167697,0.739819840587641,15
15,0.8603414684926208,0.7572143603805351,0.9377790154434564,0.7411822939802862,16
16,0.8475001654604025,0.7606722927148523,0.9266764907621023,0.7443462884514591,17
17,0.8366659086262971,0.7634296760502163,0.9195744023313672,0.7446964688118466,18
18,0.8230981041203466,0.7679778803945305,0.9266971895309883,0.7457880494208481,18
19,0.8114572498359178,0.7709958276305595,0.902081926155278,0.7522646447457664,19
20,0.8112263279264433,0.7712939204654556,0.9035813210048075,0.7531676154526628,19
21,0.7970540203284799,0.7747434816651823,0.8991672111543145,0.7544171690669518,20
22,0.7875836292118357,0.7774498196935364,0.9020347184552922,0.7535729490059524,20
23,0.7778451002480691,0.7804440045117664,0.9121912352916762,0.752478814756246,20
24,0.7686005924877367,0.7830933164205471,0.8849682408993639,0.7600419701956401,21
25,0.7628194572632773,0.7839987206808171,0.8855267967295459,0.7598086057392852,21
26,0.7629960709561904,0.7863027546979944,0.9044889206961384,0.755938807404851,21
27,0.7475259963880505,0.7879928040959286,0.8924573018090931,0.759061580272406,21
28,0.7379131372952671,0.7899795689317455,0.8823215124879297,0.7606762778877769,22
29,0.7344697821493211,0.7909721788591942,0.8840383642067121,0.7611074860633437,22
30,0.7331409479573108,0.7921458405313283,0.8882741594877769,0.7598718475657367,22
31,0.726065928632753,0.794323028669167,0.8712906500720602,0.7651341339387223,23
32,0.7145737423316428,0.7962973582113094,0.8783357820407612,0.7642404162368159,23
33,0.7137746694056611,0.797643198133262,0.8752177790628644,0.7649008286324216,23
34,0.6989680760654441,0.8002004536025732,0.880173613588641,0.7651532744201258,23
35,0.6877598950606689,0.802549177691306,0.8820613682504714,0.7652291285103413,23
36,0.688176667481138,0.8025511056536629,0.8873418496818993,0.7622717912773918,23
37,0.6771767709600298,0.8051904736865331,0.8756713433059182,0.7663330532748593,23
38,0.6769077029079199,0.806050999454597,0.8795255604456729,0.7663452996213664,23
39,0.6704479524767712,0.8075785003842433,0.8808899133458851,0.7632803520702091,23
40,0.6635365749791003,0.808013639818082,0.8989903468081332,0.7625138487971898,23
41,0.6540649232634327,0.8103495241618869,0.8843220207165545,0.7653304550072556,23
42,0.6491699506381624,0.8113405434096864,0.8823680470543583,0.7651546154602475,23
43,0.6509144825762824,0.8114514451272432,0.8889720635855292,0.7643677068688675,23
44,0.6392755675930203,0.8138562093456879,0.8869999428903024,0.7650227712118494,23
45,0.6320155395685058,0.8157750501978174,0.9305776315411245,0.7595353940750855,23
46,0.6219782512177501,0.8179996564583782,0.8989798213083913,0.762776337875697,23
47,0.6231039500092728,0.8169936336343491,0.8961060867300183,0.7657897779150078,23
48,0.6192569399023788,0.8183865907995596,0.9059450491441516,0.7619285332195056,23
49,0.6144817809590645,0.8202801521883438,0.8976607590209781,0.7647041315856415,23
50,0.61031677702017,0.820325319052351,0.9021245574387978,0.7629533218690729,23
51,0.5997890315819205,0.8232548387955748,0.9520973985589395,0.7620303549635948,23
52,0.5958944111539607,0.8243552117624637,0.8983494795448198,0.7665256844026782,23
53,0.5879379321412559,0.8261868680620271,0.9133319231703525,0.7602993612987068,23
54,0.587343004555033,0.8254317551549901,0.9078280638287387,0.7652635529029844,23
55,0.5834245971224287,0.8269145272998728,0.9111798258982305,0.7626311681708136,23
56,0.5699012113833114,0.8301077732520176,0.9158032103551654,0.7637321256773545,23
57,0.5679291415763529,0.8309131695581524,0.9127582455948582,0.7632806055979622,23
58,0.5672565043233988,0.8315753568724635,0.9815166931687378,0.7570976563670014,23
59,0.5613533667958619,0.8321540451614132,0.9258044057005034,0.7623280148686652,23
60,0.5603935551225093,0.8333036919088882,0.9287031174410046,0.7638790267634521,23
61,0.5491068858653307,0.8352770575796868,0.9410861459538693,0.7596202942215194,23
62,0.5461379062253655,0.8358396650073447,0.9399482014141683,0.7600452403512783,23
63,0.5355045716686729,0.8383857872299719,0.9397004231458573,0.7622203925795645,23
64,0.5369670442452557,0.8378120654179372,0.9444669031017409,0.762067166313839,23
65,0.5278710407907503,0.8399417550444435,0.9477520811510837,0.7589238995046366,23
66,0.5244570578203389,0.8407573632673468,0.9529413950490201,0.757109840234063,23
67,0.526670645327683,0.8402889959797749,0.96073977003886,0.7605990453591139,23
68,0.5197088445553131,0.8422656599659059,0.9546436547763705,0.7611098640416615,23
69,0.5113036258701693,0.84406045797887,0.966215363403005,0.757265519253944,23
